context,state,selector,foreground,background,kind,ratio,required,result,how
(prefers-contrast: more),resting,body,#000000,#ffffff,text,21.0,4.5,PASS,same-rule; size unknown - assumed body
default,resting,body,#1e2d3d,#f4f8fc,text,13.14,4.5,PASS,same-rule; size unknown - assumed body
print,resting,.print-schedule-table .group-header,#fff,#002f65,text,13.17,4.5,PASS,same-rule; size unknown - assumed body
print,resting,.print-schedule-table .non-period-row td,#555,#f8f8f8,text,7.02,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.badge.b-grey,#222,#d0d0d0,text,10.32,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.auth-wrap,#555555,#fff,boundary-advisory,7.46,3.0,PASS,same-rule
default,resting,.auth-wrap,#7d8ea8,#fff,boundary-advisory,3.33,3.0,PASS,same-rule
(prefers-contrast: more),resting,.btn-auth,#fff,#003a7a,text,11.13,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.btn-auth,#fff,#003a7a,text,11.13,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),disabled+hover,.btn-auth:hover:not(:disabled),#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,disabled+hover,.btn-auth:hover:not(:disabled),#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),active+disabled,.btn-auth:active:not(:disabled),#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,active+disabled,.btn-auth:active:not(:disabled),#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),disabled,.btn-auth:disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; size unknown - assumed body
(prefers-contrast: more),disabled,.btn-auth:disabled,#555555,#f4f8fc,boundary-advisory,6.99,3.0,PASS,same-rule
default,disabled,.btn-auth:disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; size unknown - assumed body
default,disabled,.btn-auth:disabled,#7d8ea8,#f4f8fc,boundary-advisory,3.12,3.0,PASS,same-rule
(prefers-contrast: more),resting,.auth-err,#8b1a1a,#fdeaea,text,8.02,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.auth-err,#f5a5a5,#fdeaea,boundary-advisory,1.68,3.0,FAIL,same-rule
default,resting,.auth-err,#8b1a1a,#fdeaea,text,8.02,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.auth-err,#f5a5a5,#fdeaea,boundary-advisory,1.68,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.auth-acct-banner,#002f65,#f0f7ff,text,12.2,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.auth-acct-banner,#bee3f8,#f0f7ff,boundary-advisory,1.25,3.0,FAIL,same-rule
default,resting,.auth-acct-banner,#002f65,#f0f7ff,text,12.2,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.auth-acct-banner,#bee3f8,#f0f7ff,boundary-advisory,1.25,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.sqn-chip,#002f65,#51b0e3,text,5.44,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.sqn-chip,#002f65,#51b0e3,text,5.44,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.sqn-chip.admin,#002f65,#ffd700,text,9.39,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.sqn-chip.admin,#002f65,#ffd700,text,9.39,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.nav-subitem:hover,#002f65,#ffffff,text,13.17,4.5,PASS,same-rule; size unknown - assumed body
default,hover,.nav-subitem:hover,#002f65,#f4f8fc,text,12.34,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.nav-subitem.active,#002f65,#deeefa,text,11.11,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.nav-subitem.active,#51b0e3,#deeefa,boundary-advisory,2.04,3.0,FAIL,same-rule
default,resting,.nav-subitem.active,#002f65,#deeefa,text,11.11,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.nav-subitem.active,#51b0e3,#deeefa,boundary-advisory,2.04,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.year-nav-ctrl,#555555,#ffffff,boundary-advisory,7.46,3.0,PASS,same-rule
default,resting,.year-nav-ctrl,#7d8ea8,#ffffff,boundary-advisory,3.33,3.0,PASS,same-rule
(prefers-contrast: more),disabled+hover,.yn-arrow:not(:disabled):hover,#000000,#f0f0f0,text,18.43,4.5,PASS,same-rule; size unknown - assumed body
default,disabled+hover,.yn-arrow:not(:disabled):hover,#1e2d3d,#f0f5fa,text,12.78,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.yn-display:hover,#000000,#f0f0f0,text,18.43,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.yn-display:hover,#1e2d3d,#f0f5fa,text,12.78,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,resting,.yn-menu button,#1e2d3d,#ffffff,text,14.02,4.5,PASS,ancestor .yn-menu; size unknown - assumed body
(prefers-contrast: more),focus+hover,".yn-menu button:hover,.yn-menu button:focus-visible",#000000,#f0f0f0,text,18.43,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,focus+hover,".yn-menu button:hover,.yn-menu button:focus-visible",#1e2d3d,#f0f5fa,text,12.78,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.yn-rollover,#555555,#f0f0f0,boundary-advisory,6.54,3.0,PASS,same-rule
default,resting,.yn-rollover,#7d8ea8,#f0f5fa,boundary-advisory,3.04,3.0,PASS,same-rule
(prefers-contrast: more),resting,.yn-rollover p,#000000,#f0f0f0,text,18.43,4.5,PASS,ancestor .yn-rollover; size unknown - assumed body
default,resting,.yn-rollover p,#1e2d3d,#f0f5fa,text,12.78,4.5,PASS,ancestor .yn-rollover; size unknown - assumed body
(prefers-contrast: more),resting,.yn-chip-active,#003318,#c0f0d8,text,11.23,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.yn-chip-active,#145f38,#d4f0e3,text,6.38,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.yn-chip-arch,#404040,#ffffff,text,10.37,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.yn-chip-arch,#5c6a76,#f4f8fc,text,5.21,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.yn-year-row.is-current,#51b0e3,#c8e6ff,boundary-advisory,1.87,3.0,FAIL,same-rule
default,resting,.yn-year-row.is-current,#51b0e3,#e0f0fa,boundary-advisory,2.08,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.yn-year-row.is-arch .yn-year-num,#404040,#f0f0f0,text,9.1,4.5,PASS,ancestor .yn-year-row.is-arch; size unknown - assumed body
default,resting,.yn-year-row.is-arch .yn-year-num,#5c6a76,#f0f5fa,text,5.07,4.5,PASS,ancestor .yn-year-row.is-arch; size unknown - assumed body
(prefers-contrast: more),resting,.yn-current-tag,#004b8d,#ffffff,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.yn-current-tag,#51b0e3,#ffffff,boundary-advisory,2.42,3.0,FAIL,same-rule
default,resting,.yn-current-tag,#004b8d,#ffffff,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.yn-current-tag,#51b0e3,#ffffff,boundary-advisory,2.42,3.0,FAIL,same-rule
default,resting,.cea-conflict-toggle,#7d8ea8,#f4f8fc,boundary-advisory,3.12,3.0,PASS,same-rule
(prefers-contrast: more),hover,.btn-out:hover,#002f65,#002f65,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.btn-out:hover,#002f65,#002f65,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),hover,.btn-red-out:hover,#cc0011,#cc0011,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.btn-red-out:hover,#e51937,#e51937,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.btn-sky,#002f65,#c8e6ff,text,10.17,4.5,PASS,same-rule; size unknown - assumed body
