category,literal,occurrences,distinct_files,first_location
color,#fff,42,1,connected-frontend/index.html:138
color,#fde8e8,12,1,connected-frontend/index.html:60
color,#e51937,10,1,connected-frontend/index.html:23
color,#1a7f4b,10,1,connected-frontend/index.html:63
color,#fff3cd,10,1,connected-frontend/index.html:64
color,#8b1a1a,10,1,connected-frontend/index.html:232
color,#51b0e3,9,1,connected-frontend/index.html:17
color,#004b8d,9,1,connected-frontend/index.html:19
color,#d4f0e3,9,1,connected-frontend/index.html:63
color,#d1dce8,8,1,connected-frontend/index.html:28
color,#7a5200,8,1,connected-frontend/index.html:64
color,#002f65,7,1,connected-frontend/index.html:18
color,#2e7d32,7,1,connected-frontend/index.html:6335
color,#f57f17,7,1,connected-frontend/index.html:6335
color,#145f38,6,1,connected-frontend/index.html:63
color,#7c3aed,6,1,connected-frontend/index.html:65
color,#c01530,6,1,connected-frontend/index.html:365
color,#455560,5,1,connected-frontend/index.html:20
color,#f4f8fc,5,1,connected-frontend/index.html:25
color,#c97a00,5,1,connected-frontend/index.html:64
color,#e0f0fa,5,1,connected-frontend/index.html:68
color,#deeefa,5,1,connected-frontend/index.html:273
color,#1a5c35,5,1,connected-frontend/index.html:513
color,#b0b7bb,4,1,connected-frontend/index.html:21
color,#f0f0f0,4,1,connected-frontend/index.html:153
color,#001e42,4,1,connected-frontend/index.html:214
color,#f0f7ff,4,1,connected-frontend/index.html:233
color,#bee3f8,4,1,connected-frontend/index.html:233
color,#101a26,4,1,connected-frontend/index.html:689
color,#fac,4,1,connected-frontend/index.html:5705
color,#7a8590,4,1,connected-frontend/index.html:18170
color,"rgba(255,255,255,.18)",4,1,connected-frontend/index.html:250
color,"rgba(255,255,255,.07)",4,1,connected-frontend/index.html:259
color,#ffffff,3,1,connected-frontend/index.html:26
color,#5c6a76,3,1,connected-frontend/index.html:34
color,#ccc,3,1,connected-frontend/index.html:135
color,#eef0f2,3,1,connected-frontend/index.html:514
color,#e6f3fc,3,1,connected-frontend/index.html:675
color,#fffbf0,3,1,connected-frontend/index.html:720
color,#7a4800,3,1,connected-frontend/index.html:854
color,#1a1a2e,3,1,connected-frontend/index.html:959
color,#bbb,3,1,connected-frontend/index.html:1059
color,#78909c,3,1,connected-frontend/index.html:6335
color,#fde8ea,3,1,connected-frontend/index.html:16761
color,#ede9fe,3,1,connected-frontend/index.html:18298
color,"rgba(0,0,0,.35)",3,1,connected-frontend/index.html:171
color,"rgba(0,75,141,.22)",3,1,connected-frontend/index.html:225
color,"rgba(0,0,0,.20)",3,1,connected-frontend/index.html:226
color,"rgba(255,255,255,.1)",3,1,connected-frontend/index.html:250
color,"rgba(255,255,255,.9)",3,1,connected-frontend/index.html:260
color,"rgba(255,255,255,.12)",3,1,connected-frontend/index.html:309
color,#e4edf5,2,1,connected-frontend/index.html:29
color,#1e2d3d,2,1,connected-frontend/index.html:31
color,#888,2,1,connected-frontend/index.html:141
color,#000000,2,1,connected-frontend/index.html:156
color,#003a7a,2,1,connected-frontend/index.html:226
color,#002050,2,1,connected-frontend/index.html:226
color,#004590,2,1,connected-frontend/index.html:227
color,#002a60,2,1,connected-frontend/index.html:227
color,#00183a,2,1,connected-frontend/index.html:228
color,#f5a5a5,2,1,connected-frontend/index.html:232
color,#001b3d,2,1,connected-frontend/index.html:241
color,#002550,2,1,connected-frontend/index.html:241
color,#ffd700,2,1,connected-frontend/index.html:249
color,#c8102e,2,1,connected-frontend/index.html:487
color,#9a0b22,2,1,connected-frontend/index.html:487
color,#fff7cc,2,1,connected-frontend/index.html:524
color,#7a6000,2,1,connected-frontend/index.html:524
color,#ffe8d4,2,1,connected-frontend/index.html:525
color,#7a3a00,2,1,connected-frontend/index.html:525
color,#f0e8ff,2,1,connected-frontend/index.html:526
color,#5b1a8b,2,1,connected-frontend/index.html:526
color,#f0f4f8,2,1,connected-frontend/index.html:640
color,#f0faf5,2,1,connected-frontend/index.html:718
color,#eef4fb,2,1,connected-frontend/index.html:1061
color,#f5f7fa,2,1,connected-frontend/index.html:3936
