frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Main TMS,(prefers-contrast: more),resting,body,#000000,#ffffff,text,21.0,4.5,PASS,same-rule; 14px body
Main TMS,default,resting,body,#1e2d3d,#f4f8fc,text,13.14,4.5,PASS,same-rule; 14px body
Main TMS,print,resting,.print-schedule-table .group-header,#fff,#002f65,text,13.17,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,print,resting,.print-schedule-table .non-period-row td,#555,#f8f8f8,text,7.02,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.badge.b-grey,#222,#d0d0d0,text,10.32,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.auth-wrap,#d1dce8,#fff,boundary-advisory,1.39,3.0,FAIL,same-rule
Main TMS,default,resting,.auth-wrap,#d1dce8,#fff,boundary-advisory,1.39,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.btn-auth,#fff,#003a7a,text,11.13,4.5,PASS,same-rule; 12px body
Main TMS,default,resting,.btn-auth,#fff,#003a7a,text,11.13,4.5,PASS,same-rule; 12px body
Main TMS,(prefers-contrast: more),disabled+hover,.btn-auth:hover:not(:disabled),#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,default,disabled+hover,.btn-auth:hover:not(:disabled),#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),active+disabled,.btn-auth:active:not(:disabled),#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,default,active+disabled,.btn-auth:active:not(:disabled),#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),disabled,.btn-auth:disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; 12px body
Main TMS,(prefers-contrast: more),disabled,.btn-auth:disabled,#d1dce8,#f4f8fc,boundary-advisory,1.3,3.0,FAIL,same-rule
Main TMS,default,disabled,.btn-auth:disabled,#b0b7bb,#f4f8fc,text,1.9,4.5,FAIL,same-rule; 12px body
Main TMS,default,disabled,.btn-auth:disabled,#d1dce8,#f4f8fc,boundary-advisory,1.3,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.auth-err,#8b1a1a,#fdeaea,text,8.02,4.5,PASS,same-rule; 12px body
Main TMS,(prefers-contrast: more),resting,.auth-err,#f5a5a5,#fdeaea,boundary-advisory,1.68,3.0,FAIL,same-rule
Main TMS,default,resting,.auth-err,#8b1a1a,#fdeaea,text,8.02,4.5,PASS,same-rule; 12px body
Main TMS,default,resting,.auth-err,#f5a5a5,#fdeaea,boundary-advisory,1.68,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.auth-acct-banner,#002f65,#f0f7ff,text,12.2,4.5,PASS,same-rule; 12px body
Main TMS,(prefers-contrast: more),resting,.auth-acct-banner,#bee3f8,#f0f7ff,boundary-advisory,1.25,3.0,FAIL,same-rule
Main TMS,default,resting,.auth-acct-banner,#002f65,#f0f7ff,text,12.2,4.5,PASS,same-rule; 12px body
Main TMS,default,resting,.auth-acct-banner,#bee3f8,#f0f7ff,boundary-advisory,1.25,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.sqn-chip,#002f65,#51b0e3,text,5.44,4.5,PASS,same-rule; 11px body
Main TMS,default,resting,.sqn-chip,#002f65,#51b0e3,text,5.44,4.5,PASS,same-rule; 11px body
Main TMS,(prefers-contrast: more),resting,.sqn-chip.admin,#002f65,#ffd700,text,9.39,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.sqn-chip.admin,#002f65,#ffd700,text,9.39,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),hover,.nav-subitem:hover,#002f65,#ffffff,text,13.17,4.5,PASS,same-rule; 12px body
Main TMS,default,hover,.nav-subitem:hover,#002f65,#f4f8fc,text,12.34,4.5,PASS,same-rule; 12px body
Main TMS,(prefers-contrast: more),resting,.nav-subitem.active,#002f65,#deeefa,text,11.11,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.nav-subitem.active,#51b0e3,#deeefa,boundary-advisory,2.04,3.0,FAIL,same-rule
Main TMS,default,resting,.nav-subitem.active,#002f65,#deeefa,text,11.11,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.nav-subitem.active,#51b0e3,#deeefa,boundary-advisory,2.04,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),resting,.yn-display input,#fff,"rgba(255,255,255,.1)",text,1.0,4.5,FAIL,ancestor .yn-display:hover; 14px body
Main TMS,default,resting,.yn-display input,#fff,"rgba(255,255,255,.1)",text,1.0,4.5,FAIL,ancestor .yn-display:hover; 14px body
Main TMS,(prefers-contrast: more),resting,.yn-chip-active,#004d24,#c0f0d8,text,8.0,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.yn-chip-active,#1a7f4b,#d4f0e3,text,4.15,4.5,FAIL,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.yn-chip-arch,#404040,#ffffff,text,10.37,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.yn-chip-arch,#5c6a76,#f4f8fc,text,5.21,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.cea-conflict-toggle,#555555,#ffffff,boundary-advisory,7.46,3.0,PASS,same-rule
Main TMS,default,resting,.cea-conflict-toggle,#d1dce8,#f4f8fc,boundary-advisory,1.3,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),hover,.btn-out:hover,#002f65,#002f65,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
Main TMS,default,hover,.btn-out:hover,#002f65,#002f65,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
Main TMS,(prefers-contrast: more),hover,.btn-red-out:hover,#cc0011,#cc0011,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
Main TMS,default,hover,.btn-red-out:hover,#e51937,#e51937,text,1.0,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.btn-sky,#002f65,#c8e6ff,text,10.17,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,.btn-sky,#7db2ce,#c8e6ff,boundary-advisory,1.78,3.0,FAIL,same-rule
Main TMS,default,resting,.btn-sky,#002f65,#e0f0fa,text,11.3,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,resting,.btn-sky,#7db2ce,#e0f0fa,boundary-advisory,1.97,3.0,FAIL,same-rule
Main TMS,(prefers-contrast: more),hover,.btn-sky:hover,#002f65,#c4e4f5,text,9.89,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,default,hover,.btn-sky:hover,#002f65,#c4e4f5,text,9.89,4.5,PASS,same-rule; size unknown - assumed body
Main TMS,(prefers-contrast: more),resting,".btn-danger,.btn-red",#fff,#cc0011,text,5.87,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,default,resting,".btn-danger,.btn-red",#fff,#e51937,text,4.64,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),hover,".btn-danger:hover,.btn-red:hover",#fff,#c01530,text,6.19,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,default,hover,".btn-danger:hover,.btn-red:hover",#fff,#c01530,text,6.19,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),hover,.btn-primary:hover,#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,default,hover,.btn-primary:hover,#fff,#004590,text,9.32,4.5,PASS,inherited-fg + same-rule bg; 12px body
Main TMS,(prefers-contrast: more),active,.btn-primary:active,#fff,#001e42,text,16.61,4.5,PASS,inherited-fg + same-rule bg; 12px body
