context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
light,base.css,body,#1e2d3d,#f4f8fc,14.0,400,False,4.5,13.14,PASS,same-rule,yes
dark,base.css,body,#e7eef6,#081426,14.0,400,False,4.5,15.78,PASS,same-rule,yes
hc,base.css,body,#000000,#ffffff,14.0,400,False,4.5,21.0,PASS,same-rule,yes
contrast-more,base.css,body,#000000,#ffffff,14.0,400,False,4.5,21.0,PASS,same-rule,yes
light,base.css,a,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
light,base.css,a,#004b8d,#f4f8fc,13.0,400,False,4.5,8.23,PASS,assumed --background,no
dark,base.css,a,#004b8d,#0f1c30,13.0,400,False,4.5,1.95,FAIL,assumed --surface,no
dark,base.css,a,#004b8d,#081426,13.0,400,False,4.5,2.1,FAIL,assumed --background,no
hc,base.css,a,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
hc,base.css,a,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --background,no
contrast-more,base.css,a,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --surface,no
contrast-more,base.css,a,#004b8d,#ffffff,13.0,400,False,4.5,8.78,PASS,assumed --background,no
light,base.css,.skip-link,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
dark,base.css,.skip-link,#ffffff,#51b0e3,13.0,400,False,4.5,2.42,FAIL,same-rule,no
hc,base.css,.skip-link,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
contrast-more,base.css,.skip-link,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
light,base.css,th,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,base.css,th,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,base.css,th,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,base.css,th,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,base.css,th,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,base.css,th,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,base.css,th,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,base.css,th,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,components.css,.stat .lbl,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,components.css,.stat .lbl,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,components.css,.stat .lbl,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,components.css,.stat .lbl,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,components.css,.stat .lbl,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,components.css,.stat .lbl,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,components.css,.stat .lbl,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,components.css,.stat .lbl,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,components.css,.btn,#ffffff,#002f65,13.0,700,False,4.5,13.17,PASS,same-rule,yes
dark,components.css,.btn,#ffffff,#51b0e3,13.0,700,False,4.5,2.42,FAIL,same-rule,yes
hc,components.css,.btn,#ffffff,#000044,13.0,700,False,4.5,19.38,PASS,same-rule,yes
contrast-more,components.css,.btn,#ffffff,#000044,13.0,700,False,4.5,19.38,PASS,same-rule,yes
light,components.css,.badge.ok,#1a7f4b,#ffffff,13.0,400,False,4.5,5.02,PASS,assumed --surface,no
light,components.css,.badge.ok,#1a7f4b,#f4f8fc,13.0,400,False,4.5,4.71,PASS,assumed --background,no
hc,components.css,.badge.ok,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --surface,no
hc,components.css,.badge.ok,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --background,no
contrast-more,components.css,.badge.ok,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --surface,no
contrast-more,components.css,.badge.ok,#004d24,#ffffff,13.0,400,False,4.5,10.06,PASS,assumed --background,no
light,components.css,.badge.warn,#a86600,#ffffff,13.0,400,False,4.5,4.6,PASS,assumed --surface,no
light,components.css,.badge.warn,#a86600,#f4f8fc,13.0,400,False,4.5,4.31,FAIL,assumed --background,no
dark,components.css,.badge.warn,#a86600,#0f1c30,13.0,400,False,4.5,3.71,FAIL,assumed --surface,no
dark,components.css,.badge.warn,#a86600,#081426,13.0,400,False,4.5,4.01,FAIL,assumed --background,no
hc,components.css,.badge.warn,#a86600,#ffffff,13.0,400,False,4.5,4.6,PASS,assumed --surface,no
hc,components.css,.badge.warn,#a86600,#ffffff,13.0,400,False,4.5,4.6,PASS,assumed --background,no
contrast-more,components.css,.badge.warn,#a86600,#ffffff,13.0,400,False,4.5,4.6,PASS,assumed --surface,no
contrast-more,components.css,.badge.warn,#a86600,#ffffff,13.0,400,False,4.5,4.6,PASS,assumed --background,no
light,components.css,.badge.red,#e51937,#ffffff,13.0,400,False,4.5,4.64,PASS,assumed --surface,no
light,components.css,.badge.red,#e51937,#f4f8fc,13.0,400,False,4.5,4.35,FAIL,assumed --background,no
dark,components.css,.badge.red,#ff6b6b,#0f1c30,13.0,400,False,4.5,6.16,PASS,assumed --surface,no
dark,components.css,.badge.red,#ff6b6b,#081426,13.0,400,False,4.5,6.65,PASS,assumed --background,no
hc,components.css,.badge.red,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --surface,no
hc,components.css,.badge.red,#cc0011,#ffffff,13.0,400,False,4.5,5.87,PASS,assumed --background,no
contrast-more,components.css,.badge.red,#e51937,#ffffff,13.0,400,False,4.5,4.64,PASS,assumed --surface,no
