file,kind,name,line
frontend/src/api/client.ts,exported-class,ApiError,17
frontend/src/api/index.ts,exported-function,parseConflictsList,18
frontend/src/auth/permissions.ts,exported-const-arrow,isNational,3
frontend/src/auth/permissions.ts,exported-const-arrow,isWing,5
frontend/src/auth/permissions.ts,exported-const-arrow,isAdmin,6
frontend/src/auth/permissions.ts,exported-const-arrow,canWriteSquadron,16
frontend/src/auth/permissions.ts,exported-const-arrow,canViewCadets,23
frontend/src/auth/permissions.ts,exported-const-arrow,isAuditor,24
frontend/src/auth/permissions.ts,exported-const-arrow,isSystemAdmin,25
frontend/src/auth/permissions.ts,exported-const-arrow,canManageAccounts,27
frontend/src/auth/roleGuards.ts,exported-function,visibleRoutes,4
frontend/src/auth/useProxyGuard.ts,exported-function,useProxyGuard,19
frontend/src/auth/useProxyGuard.ts,const-arrow,onBeforeUnload,38
frontend/src/utils/planningFilters.ts,exported-function,filterAnchors,23
frontend/src/App.tsx,function,NotAuthenticated,48
frontend/src/App.tsx,function,ModuleLoading,66
frontend/src/App.tsx,function,ModuleError,76
frontend/src/App.tsx,function,ModuleEntry,110
frontend/src/App.tsx,function,Home,126
frontend/src/App.tsx,exported-function,App,134
frontend/src/auth/AuthProvider.tsx,exported-function,AuthProvider,17
frontend/src/auth/AuthProvider.tsx,exported-function,useAuth,62
frontend/src/auth/LoginPage.tsx,exported-function,LoginPage,5
frontend/src/auth/RequireAuth.tsx,exported-function,RequireAuth,6
frontend/src/components/DrilldownPanel.tsx,exported-function,DrilldownPanel,4
frontend/src/components/ErrorBoundary.tsx,exported-class,ErrorBoundary,6
frontend/src/components/Modal.tsx,exported-function,Modal,4
frontend/src/components/Modal.tsx,const-arrow,onKey,6
frontend/src/components/Paginated.tsx,exported-function,usePagination,6
frontend/src/components/Paginated.tsx,exported-function,Pager,17
frontend/src/components/assurance.tsx,exported-function,ComparisonTable,12
frontend/src/components/assurance.tsx,const-arrow,toggle,25
frontend/src/components/assurance.tsx,exported-function,RankBars,49
frontend/src/components/assurance.tsx,exported-function,ReadinessPanel,71
frontend/src/components/assurance.tsx,exported-function,GapHeatmap,80
frontend/src/components/assurance.tsx,const-arrow,tone,85
frontend/src/components/assurance.tsx,exported-function,HeatmapGrid,129
frontend/src/components/assurance.tsx,const-arrow,tone,134
frontend/src/components/charts/DashboardCharts.tsx,function,EmptyState,24
frontend/src/components/charts/DashboardCharts.tsx,function,rowsOf,28
frontend/src/components/charts/DashboardCharts.tsx,function,numOf,32
frontend/src/components/charts/DashboardCharts.tsx,function,labelOf,37
frontend/src/components/charts/DashboardCharts.tsx,function,valueKeyFor,41
frontend/src/components/charts/DashboardCharts.tsx,function,colorFor,50
frontend/src/components/charts/DashboardCharts.tsx,exported-function,HBarChart,67
frontend/src/components/charts/DashboardCharts.tsx,exported-function,DonutChart,98
frontend/src/components/charts/DashboardCharts.tsx,exported-function,LineChart,140
frontend/src/components/charts/DashboardCharts.tsx,const-arrow,yFor,147
frontend/src/components/charts/DashboardCharts.tsx,exported-function,StackedBarHChart,171
frontend/src/components/charts/DashboardCharts.tsx,exported-function,GroupedBarChart,205
frontend/src/components/charts/DashboardCharts.tsx,exported-function,HeatmapChart,241
frontend/src/components/charts/DashboardCharts.tsx,const-arrow,riskColor,245
frontend/src/components/charts/DashboardCharts.tsx,exported-function,ReadinessCard,282
frontend/src/components/charts/DashboardCharts.tsx,exported-function,ReadinessGrid,348
frontend/src/components/charts/DashboardCharts.tsx,exported-function,ChartCard,383
frontend/src/components/charts/DashboardCharts.tsx,const-arrow,body,384
frontend/src/components/charts/FacilitatorScheduleList.tsx,function,itemDate,9
frontend/src/components/charts/FacilitatorScheduleList.tsx,exported-function,FacilitatorScheduleList,13
frontend/src/components/charts/FacilitatorTimeline.tsx,function,escapeHtml,41
frontend/src/components/charts/FacilitatorTimeline.tsx,exported-function,FacilitatorTimeline,45
frontend/src/components/planning/ActivityDetailBlock.tsx,function,owningLevelLabel,37
frontend/src/components/planning/ActivityDetailBlock.tsx,exported-function,anchorToDisplay,44
frontend/src/components/planning/ActivityDetailBlock.tsx,exported-function,ceaToDisplay,95
frontend/src/components/planning/ActivityDetailBlock.tsx,function,fmtDay,160
frontend/src/components/planning/ActivityDetailBlock.tsx,function,fmtShortDate,165
frontend/src/components/planning/ActivityDetailBlock.tsx,function,fmtLongDate,170
frontend/src/components/planning/ActivityDetailBlock.tsx,function,fmtDateRange,176
frontend/src/components/planning/ActivityDetailBlock.tsx,function,audienceLabel,195
