file,kind,name,line,visibility
backend/app/config.py,class,Settings,10,
backend/app/config.py,method,protected_db_host_fingerprints,78,public
backend/app/config.py,method,cors_origins,82,public
backend/app/config.py,method,is_prod,86,public
backend/app/config.py,method,validate_for_production,89,public
backend/app/config.py,method,_is_dev,100,private
backend/app/config.py,function,get_settings,122,public
backend/app/database.py,function,build_pool_kwargs,26,public
backend/app/database.py,function,utcnow,54,public
backend/app/database.py,function,new_uuid,58,public
backend/app/database.py,class,Base,62,
backend/app/database.py,class,UUIDMixin,66,
backend/app/database.py,class,TimestampMixin,70,
backend/app/database.py,class,SoftDeleteMixin,77,
backend/app/database.py,function,get_db,83,public
backend/app/database.py,function,init_db,91,public
backend/app/database.py,class,DestructiveResetRefused,96,
backend/app/database.py,function,check_destructive_reset_allowed,100,public
backend/app/database.py,function,reset_db,142,public
backend/app/dependencies.py,function,_token_from_request,14,private
backend/app/dependencies.py,function,get_principal,22,public
backend/app/dependencies.py,function,client_meta,48,public
backend/app/main.py,function,_maintenance_active,17,private
backend/app/main.py,function,invalidate_maintenance_cache,44,public
backend/app/main.py,function,lifespan,52,public
backend/app/main.py,function,_extract_token,94,private
backend/app/main.py,function,maintenance_gate,105,public
backend/app/main.py,function,api_rate_limit,169,public
backend/app/main.py,function,access_log,201,public
backend/app/main.py,function,security_headers,219,public
backend/app/main.py,function,server_error,241,public
backend/app/main.py,function,root,248,public
backend/app/models/operations.py,class,ActionItem,9,
backend/app/models/operations.py,class,Exception,28,
backend/app/models/operations.py,class,AuditLog,47,
backend/app/models/operations.py,class,SystemSetting,68,
backend/app/models/operations.py,class,ImportLog,78,
backend/app/models/operations.py,class,ExportLog,92,
backend/app/models/organisations.py,class,NationalEntity,9,
backend/app/models/organisations.py,class,Wing,15,
backend/app/models/organisations.py,class,Squadron,30,
backend/app/models/organisations.py,class,Flight,49,
backend/app/models/organisations.py,class,User,61,
backend/app/models/organisations.py,class,AccessCode,80,
backend/app/models/organisations.py,class,IpLoginAttempt,94,
backend/app/models/organisations.py,class,ProxySession,108,
backend/app/models/planning.py,class,PlanningYear,29,
backend/app/models/planning.py,class,ParadeDate,41,
backend/app/models/planning.py,class,HolidayPeriod,55,
backend/app/models/planning.py,class,AnchorEvent,67,
backend/app/models/planning.py,class,AnchorPrepRule,98,
backend/app/models/planning.py,class,AnchorPrepPlan,110,
backend/app/models/planning.py,class,ScheduledSession,122,
backend/app/models/planning.py,class,PlanningLocation,144,
backend/app/models/planning.py,class,PlanningConflict,156,
backend/app/models/planning.py,class,PlanningFacilitatorLeave,170,
backend/app/models/planning.py,class,PlanningNotice,183,
backend/app/models/planning.py,class,CeaImportBatch,197,
backend/app/models/planning.py,class,CeaActivity,212,
backend/app/models/planning.py,class,ActivityLocalHide,253,
backend/app/models/program.py,class,Phase,12,
backend/app/models/program.py,class,ProgramPackage,24,
backend/app/models/program.py,class,ProgramItem,43,
backend/app/models/program.py,class,LearningHubResource,75,
backend/app/models/program.py,class,ProgramItemDeployment,87,
backend/app/models/program.py,class,SourceFile,103,
backend/app/models/program.py,class,SourceConflict,116,
backend/app/models/program.py,class,PromotionRequest,134,
backend/app/models/program.py,class,JobStatus,146,
backend/app/models/training.py,class,CurriculumItem,14,
backend/app/models/training.py,class,CustomPhase,42,
backend/app/models/training.py,class,ParadeNight,50,
backend/app/models/training.py,class,Session,79,
backend/app/models/training.py,class,SessionStatusHistory,116,
backend/app/models/training.py,class,Facilitator,126,
backend/app/models/training.py,class,FacilitatorRankHistory,142,
backend/app/models/training.py,class,SubjectAreaTag,152,
backend/app/models/training.py,class,TrainingArea,164,
backend/app/models/training.py,class,Equipment,176,
backend/app/models/training.py,class,Activity,189,
backend/app/models/training.py,class,Cadet,213,
backend/app/models/training.py,class,TimingTemplate,236,
backend/app/models/training.py,class,TimingBlock,259,
backend/app/models/training.py,class,ParadeNightTimingOverride,282,
backend/app/models/training.py,class,CurriculumElement,303,
backend/app/models/training.py,class,CurriculumPhase,324,
backend/app/models/wing_calendar.py,class,WingHQEvent,30,
backend/app/models/wing_calendar.py,class,SquadronEventStatus,59,
backend/app/models/wing_calendar.py,class,WingEventCurriculumLink,77,
backend/app/permissions.py,class,Principal,23,
backend/app/permissions.py,method,is_national,37,public
backend/app/permissions.py,method,is_wing,41,public
backend/app/permissions.py,method,is_system_admin,45,public
backend/app/permissions.py,method,is_auditor,49,public
backend/app/permissions.py,method,can_view_squadron,52,public
backend/app/permissions.py,method,can_view_wing,59,public
backend/app/permissions.py,method,can_write_squadron,66,public
backend/app/permissions.py,method,can_write_activity,77,public
backend/app/permissions.py,function,require_can_write_squadron,103,public
backend/app/permissions.py,function,require_can_view_squadron,115,public
backend/app/permissions.py,function,require_can_view_wing,120,public
backend/app/permissions.py,function,require_can_write_activity,125,public
backend/app/permissions.py,function,require_role,143,public
backend/app/permissions.py,function,require_system_admin,148,public
backend/app/permissions.py,function,require_system_or_nat_admin,153,public
backend/app/permissions.py,function,require_audit_access,158,public
backend/app/routers/accounts.py,function,_scope_type,64,private
backend/app/routers/accounts.py,function,_require_write_actor,76,private
backend/app/routers/accounts.py,function,_validate_create_scope,81,private
backend/app/routers/accounts.py,function,_require_manage_authority,119,private
backend/app/routers/accounts.py,function,_can_read_account,138,private
backend/app/routers/accounts.py,function,_account_out,156,private
backend/app/routers/accounts.py,class,AccountCreateIn,211,
backend/app/routers/accounts.py,class,AccountUpdateIn,221,
backend/app/routers/accounts.py,class,ResetCodeIn,226,
backend/app/routers/accounts.py,class,FlightIn,230,
backend/app/routers/accounts.py,class,FlightUpdateIn,235,
backend/app/routers/accounts.py,function,list_accounts,245,public
backend/app/routers/accounts.py,function,create_account,283,public
backend/app/routers/accounts.py,function,get_account,351,public
backend/app/routers/accounts.py,function,update_account,363,public
backend/app/routers/accounts.py,function,reset_code,402,public
backend/app/routers/accounts.py,function,disable_account,452,public
backend/app/routers/accounts.py,function,reactivate_account,472,public
backend/app/routers/accounts.py,function,_last_active_system_admin_count,488,private
backend/app/routers/accounts.py,function,archive_account,494,public
backend/app/routers/accounts.py,function,restore_account,522,public
backend/app/routers/accounts.py,class,BatchArchiveIn,543,
backend/app/routers/accounts.py,function,batch_archive_accounts,551,public
backend/app/routers/accounts.py,function,unlock_account,626,public
backend/app/routers/accounts.py,function,_can_write_flight,654,private
backend/app/routers/accounts.py,function,list_flights,671,public
backend/app/routers/accounts.py,function,create_flight,690,public
backend/app/routers/accounts.py,function,update_flight,702,public
